,"(('gas', 'gas_boiler'), 'flow')","(('gas_boiler', 'heat_generation'), 'flow')","(('chp', 'electricity'), 'flow')","(('chp', 'electricity'), 'status')","(('chp', 'heat_generation'), 'flow')","(('gas', 'chp'), 'flow')","(('electricity', 'heatpump_air'), 'flow')","(('heatpump_air', 'heat_generation'), 'flow')","(('heatpump_air', 'heat_generation'), 'status')","(('electricity', 'electrolysis'), 'flow')","(('electrolysis', 'h2'), 'flow')","(('electrolysis', 'heat_generation'), 'flow')","(('heat_generation', 'thermal_storage'), 'flow')","(('thermal_storage', 'None'), 'storage_content')","(('thermal_storage', 'storage_out'), 'flow')"
2018-01-01 00:00:00,0.0,0.0,321.5610732,1.0,465.41734278947376,846.2133505263158,731.0274162246703,1493.8094177394232,1.0,0.0,-0.0,-0.0,1959.2267605288944,45681.80203779898,1495.743122
2018-01-01 01:00:00,0.0,0.0,321.5610732,1.0,465.41734278947376,846.2133505263158,731.2027080190392,1495.9577527556073,1.0,0.0,-0.0,-0.0,1961.3750955450887,46108.18753268945,1525.2751524999999
2018-01-01 02:00:00,0.0,0.0,321.5610732,1.0,465.41734278947376,846.2133505263158,731.4939303426465,1499.5383103731162,1.0,0.0,-0.0,-0.0,1964.9556531626004,46519.933484036264,1543.44746925
2018-01-01 03:00:00,0.0,0.0,321.5610732,1.0,465.41734278947376,846.2133505263158,731.6698966873445,1501.7017990175304,1.0,0.0,-0.0,-0.0,1967.1191418070084,46928.75826924898,1548.48598025
2018-01-01 04:00:00,0.0,0.0,321.5610732,1.0,465.41734278947376,846.2133505263158,731.5266397328216,1499.9272568402755,1.0,0.0,-0.0,-0.0,1965.3445996297523,47344.38426087684,1539.86441525
2018-01-01 05:00:00,0.0,0.0,321.5610732,1.0,465.41734278947376,846.2133505263158,730.7948270403175,1490.9599963611217,1.0,0.0,-0.0,-0.0,1956.3773391505965,47741.82880816648,1549.0320205
2018-01-01 06:00:00,0.0,0.0,321.5610732,1.0,465.41734278947376,846.2133505263158,730.6212285520286,1488.8341040460607,1.0,0.0,-0.0,-0.0,1954.251446835544,48034.535494600415,1651.599448
2018-01-01 07:00:00,0.0,0.0,321.5610732,1.0,465.41734278947376,846.2133505263158,730.6809164953531,1489.5576587358184,1.0,0.0,-0.0,-0.0,1954.975001525294,48242.532618755366,1736.99976175
2018-01-01 08:00:00,0.0,0.0,321.5610732,1.0,465.41734278947376,846.2133505263158,731.5244097789391,1499.908379567654,1.0,0.0,-0.0,-0.0,1965.32572235712,48397.12985430261,1800.7270612500001
2018-01-01 09:00:00,0.0,0.0,321.5610732,1.0,465.41734278947376,846.2133505263158,732.138882240453,1507.486410385132,1.0,0.0,-0.0,-0.0,1972.9037531745998,48329.95658442678,2030.0582720000002
2018-01-01 10:00:00,0.0,0.0,321.5610732,1.0,465.41734278947376,846.2133505263158,732.2564096566798,1508.938942001461,1.0,0.0,-0.0,-0.0,1974.3562847909343,48279.70758892934,2014.5940572499999
2018-01-01 11:00:00,0.0,0.0,321.5610732,1.0,465.41734278947376,846.2133505263158,731.6130778938879,1500.9957895785897,1.0,0.0,-0.0,-0.0,1966.413132368063,48263.18304409192,1972.9320855
2018-01-01 12:00:00,0.0,0.0,321.5610732,1.0,465.41734278947376,846.2133505263158,731.0274162246703,1493.8094177394232,1.0,0.0,-0.0,-0.0,1959.226760528909,48353.21590504739,1859.19015975
2018-01-01 13:00:00,0.0,0.0,321.5610732,1.0,465.41734278947376,846.2133505263158,730.9402820901595,1492.7408850011093,1.0,0.0,-0.0,-0.0,1958.1582277905836,48523.62178891088,1777.73851425
2018-01-01 14:00:00,0.0,0.0,321.5610732,1.0,465.41734278947376,846.2133505263158,730.5349344479414,1487.7767065866358,1.0,0.0,-0.0,-0.0,1953.194049376114,48744.53271321678,1722.25019825
2018-01-01 15:00:00,0.0,0.0,321.5610732,1.0,465.41734278947376,846.2133505263158,729.8412934777573,1479.3210037611236,1.0,0.0,-0.0,-0.0,1944.738346550599,48963.14595777657,1716.067418
2018-01-01 16:00:00,0.0,0.0,321.5610732,1.0,465.41734278947376,846.2133505263158,728.8135501894387,1466.8459571743751,1.0,0.0,-0.0,-0.0,1932.263299963859,49290.2372198267,1595.08985425
2018-01-01 17:00:00,0.0,0.0,321.5610732,1.0,465.41734278947376,846.2133505263158,727.223647350475,1447.7513895129832,1.0,0.0,-0.0,-0.0,1913.1687323024526,49558.40370331658,1634.8834084999999
2018-01-01 18:00:00,0.0,0.0,321.5610732,1.0,465.41734278947376,846.2133505263158,726.8294516738866,1443.0491007355233,1.0,0.0,-0.0,-0.0,1908.4664435249942,49838.22563699564,1618.4956164999999
