,"(('gas', 'gas_boiler'), 'flow')","(('gas_boiler', 'heat_generation'), 'flow')","(('chp', 'electricity'), 'flow')","(('chp', 'heat_generation'), 'flow')","(('gas', 'chp'), 'flow')","(('electricity', 'heatpump_air'), 'flow')","(('heatpump_air', 'heat_generation'), 'flow')","(('heatpump_air', 'heat_generation'), 'status')","(('electricity', 'electrolysis'), 'flow')","(('electrolysis', 'h2'), 'flow')","(('electrolysis', 'heat_generation'), 'flow')","(('heat_generation', 'thermal_storage'), 'flow')","(('thermal_storage', 'None'), 'storage_content')","(('thermal_storage', 'storage_out'), 'flow')"
2018-01-02 02:00:00,0.0,0.0,0.0,-0.0,0.0,855.4878158218512,1712.0502723397667,1.0,0.0,-0.0,-0.0,1712.0502723397667,52378.53840119885,1709.84258775
2018-01-02 03:00:00,0.0,0.0,0.0,-0.0,0.0,853.8957261526672,1693.0223042487614,1.0,0.0,-0.0,-0.0,1693.0223042487614,52345.20978914891,1715.8859745
2018-01-02 04:00:00,0.0,0.0,0.0,-0.0,0.0,852.5141170021438,1676.664058642059,1.0,0.0,-0.0,-0.0,1676.664058642059,52275.21650183204,1736.19613925
2018-01-02 05:00:00,0.0,0.0,0.0,-0.0,0.0,851.6655964275903,1666.6826825709184,1.0,0.0,-0.0,-0.0,1666.6826825709184,52215.25069574139,1716.195126
2018-01-02 06:00:00,0.0,0.0,0.0,-0.0,0.0,851.8311716663673,1668.6162486212638,1.0,0.0,-0.0,-0.0,1668.6162486212638,51991.80530748302,1881.6149945
2018-01-02 07:00:00,0.0,0.0,0.0,-0.0,0.0,853.1374746375436,1684.0281879797803,1.0,0.0,-0.0,-0.0,1684.0281879797803,51667.6657515375,1997.74614275
2018-01-02 08:00:00,0.0,0.0,0.0,-0.0,0.0,854.2548824449046,1697.314673501155,1.0,0.0,-0.0,-0.0,1697.314673501155,51331.74068796872,2022.85446175
2018-01-02 09:00:00,0.0,0.0,0.0,-0.0,0.0,855.3544932164266,1710.4498850158313,1.0,0.0,-0.0,-0.0,1710.4498850158313,51034.976704804925,1996.8662395000001
2018-01-02 10:00:00,0.0,0.0,0.0,-0.0,0.0,856.9630510962998,1729.8402104875818,1.0,0.0,-0.0,-0.0,1729.8402104875818,50814.98417327704,1939.51837125
2018-01-02 11:00:00,0.0,0.0,0.0,-0.0,0.0,857.567735865016,1737.1888680026,1.0,0.0,-0.0,-0.0,1737.1888680026,50716.35873151181,1825.5245932500002
