Time;T_amp
1566000;2.2
1569600;2.8
1573200;2.2
1576800;2.3
1580400;2.4
1584000;2.6
1587600;2.9
1591200;3.4
1594800;3.5
1598400;3.7
1602000;3.8
1605600;4.2
1609200;3.7
1612800;2.1
1616400;1.6
1620000;0.8
1623600;0.7
1627200;0.3
1630800;0.1
1634400;0.4
1638000;0.5
1641600;0.2
1645200;0.3
1648800;-0.2
1652400;-0.4
1656000;-1.1
1659600;-0.8
1663200;-0.6
1666800;-0.6
1670400;-0.7
1674000;-0.8
1677600;-0.6
1681200;-0.5
1684800;-0.8
1688400;-1
1692000;-1.2
1695600;-1.4
1699200;-1.8
1702800;-2.4
1706400;-2.3
1710000;-2.9
1713600;-2.3
1717200;-2.7
1720800;-2.8
1724400;-2.4
1728000;-2.5
1731600;-2
1735200;-1.7
1738800;-1.3
1742400;-1.6
1746000;-1.2
1749600;-1.3
1753200;-0.6
1756800;-0.6
1760400;-0.2
1764000;0.6
1767600;1.7
1771200;2.6
1774800;2.7
1778400;2
1782000;1.2
1785600;0.3
1789200;-0.2
1792800;-0.7
1796400;-1.1
1800000;-0.8
1803600;-0.6
1807200;-0.3
1810800;0.2
1814400;0.4
1818000;1.1
1821600;2.1
1825200;2.1
1828800;2.1
1832400;2.2
1836000;2.1
1839600;1.9
1843200;2.1
1846800;2.4
1850400;2.4
1854000;2.5
1857600;2.4
1861200;2.3
1864800;2.2
1868400;1.7
1872000;1.6
1875600;1.2
1879200;0.8
1882800;0.4
1886400;-0.3
1890000;-0.9
1893600;-0.8
1897200;-0.8
1900800;0.1
1904400;1.6
1908000;2.1
1911600;2.4
1915200;2.6
1918800;2.3
1922400;2.2
1926000;1.9
1929600;1.7
1933200;1.6
1936800;1.7
1940400;1.8
1944000;1.9
1947600;1.8
1951200;2
1954800;2.1
1958400;1.4
1962000;1.2
1965600;0.1
1969200;0.1
1972800;-0.8
1976400;-0.4
1980000;-0.5
1983600;-0.5
1987200;-0.5
1990800;-0.6
1994400;-0.4
1998000;-0.4
2001600;-0.3
2005200;-0.1
2008800;0.4
2012400;1.5
2016000;1.9
2019600;2.4
2023200;3.4
2026800;4.2
2030400;4.5
2034000;4.5
2037600;4.1
2041200;4.1
2044800;3.8
2048400;3.7
2052000;3.8
2055600;3.9
2059200;4.2
2062800;4.1
2066400;4.1
2070000;4.2
2073600;4.3
2077200;4.2
2080800;4.1
2084400;4.1
2088000;3.8
2091600;3.6
2095200;2.8
2098800;2.5
2102400;2.3
2106000;2.5
2109600;3.1
2113200;3.7
2116800;3.6
2120400;3.7
2124000;3.4
2127600;3.4
2131200;2.7
2134800;2.5
2138400;2.3
2142000;1.8
2145600;1
2149200;1.4
2152800;1.1
2156400;0.8
2160000;0.8
2163600;0.7
2167200;0.6
2170800;0.4
2174400;0.3
2178000;0.3
2181600;0.4
2185200;0
2188800;0.2
2192400;0.2
2196000;-0.1
2199600;0.1
2203200;-0.1
2206800;0
2210400;-0.1
2214000;0
2217600;-0.2
2221200;-0.1
2224800;-0.3
2228400;-0.8
2232000;-1.1
2235600;-1.6
2239200;-2.3
2242800;-3.2
2246400;-3.5
2250000;-3.5
2253600;-3.6
2257200;-3.9
2260800;-4
2264400;-4
2268000;-4.7
2271600;-4.7
2275200;-5.2
2278800;-3.4
2282400;-2.4
2286000;-1.9
2289600;-1.7
2293200;-1.4
2296800;-1.4
2300400;-1.5
2304000;-2.4
2307600;-3.5
2311200;-4.1
2314800;-5.4
